name,x,y,yaw_deg
A_1,-1.3224,0.6334,0
A_1_1,-0.0606,0.625,0
A_1_2,-0.595,0.587,0
A_2,-1.3091,1.1999,0
A_2_1,-0.0833,1.14,0
A_2_2,-0.63,1.15,0
A_3,-1.9047,0.6151,180
A_3_1,-2.93,0.66,180
A_3_2,-2.33,0.649,180
A_4,-1.9837,1.1508,180
A_4_1,-2.89,1.19,180
A_4_2,-2.33,1.17,180
B_1,-1.2653,1.7667,0
B_1_1,-0.0854,1.78,0
B_1_2,-0.648,1.78,0
B_2,-1.3253,2.3998,0
B_2_1,-0.0771,2.31,0
B_2_2,-0.685,2.32,0
B_3,-1.9549,1.7926,180
B_3_1,-2.93,1.82,180
B_3_2,-2.37,1.82,180
B_4,-1.7676,2.36,180
B_4_1,-2.89,2.32,180
B_4_2,-2.33,2.34,180
C_1,-1.2578,3.1694,0
C_1_1,-0.1021,3.1664,0
C_1_2,-0.6516,3.1774,0
C_2,-1.3982,3.6975,0
C_2_1,-0.2876,3.6381,0
C_2_2,-0.7428,3.667,0
C_3,-2.0119,3.091,0
C_3_1,-2.91,2.89,0
C_3_2,-2.35,2.88,0
C_4,-1.961,3.7047,180
C_4_1,-2.93,3.44,89.954374
C_4_2,-2.38,3.45,89.954374
W_1,-1.45,0.0371,0
W_2,-1.45,4.2551,0
W_3,-1.56,0.0371,0
W_4,-1.56,4.2051,0
EXIT,-3.222,4.34777,180
